Record ID,Field,Sensitivity Label,Protection Action,Policy Rule ID,Protected Value,Release Decision,Reason
17,Shift ID,Internal,Keep,R1,Shift ID,Released,"Analytically necessary, lower-risk value retained"
17,Operator Name,Confidential,Placeholder Mask,R4,[OPERATOR_NAME],Released,Personal identifier masked with a placeholder
17,Customer/Order Information,Confidential,Block,R5,[BLOCKED],Blocked,Customer and order information blocked from release
17,Image Metadata,Restricted,Generalize,R2,Industrial camera image,Released,Sensitive value generalized to reduce disclosure risk
18,Quality Log ID,Restricted,Placeholder Mask,R4,[QUALITY_LOG_ID],Released,Personal identifier masked with a placeholder
18,Supplier ID,Confidential,Hash Pseudonymize,R3,[SUPPLIER_K1V4],Released,"Supplier, batch, and machine identifiers pseudonymized"
18,Batch ID,Restricted,Hash Pseudonymize,R3,[BATCH_4QWD],Released,"Supplier, batch, and machine identifiers pseudonymized"
18,Machine ID,Restricted,Hash Pseudonymize,R3,[MACHINE_HB5V],Released,"Supplier, batch, and machine identifiers pseudonymized"
18,Defect Type,Internal,Keep,R1,Defect Type,Released,"Analytically necessary, lower-risk value retained"
18,Defect Severity,Restricted,Placeholder Mask,R4,[LOW_SEVERITY],Released,Personal identifier masked with a placeholder
18,Defect Rate,Restricted,Generalize,R2,10-15%,Released,Sensitive value generalized to reduce disclosure risk
18,Process Parameter,Restricted,Generalize,R2,20-25 °C,Released,Sensitive value generalized to reduce disclosure risk
18,Maintenance Note,Restricted,Generalize,R2,Corrosion observed,Released,Sensitive value generalized to reduce disclosure risk
18,Root-Cause Note,Restricted,Generalize,R2,Batch viscosity error observed,Released,Sensitive value generalized to reduce disclosure risk
18,Corrective Action,Internal,Generalize,R2,Coolant error observed,Released,Sensitive value generalized to reduce disclosure risk
18,Shift ID,Internal,Keep,R1,Shift ID,Released,"Analytically necessary, lower-risk value retained"
18,Operator Name,Confidential,Placeholder Mask,R4,[OPERATOR_NAME],Released,Personal identifier masked with a placeholder
18,Customer/Order Information,Confidential,Block,R5,[BLOCKED],Blocked,Customer and order information blocked from release
18,Image Metadata,Restricted,Generalize,R2,Industrial camera image,Released,Sensitive value generalized to reduce disclosure risk
19,Quality Log ID,Restricted,Placeholder Mask,R4,[QUALITY_LOG_ID],Released,Personal identifier masked with a placeholder
19,Supplier ID,Confidential,Hash Pseudonymize,R3,[SUPPLIER_1NBN],Released,"Supplier, batch, and machine identifiers pseudonymized"
19,Batch ID,Restricted,Hash Pseudonymize,R3,[BATCH_DNN1],Released,"Supplier, batch, and machine identifiers pseudonymized"
19,Machine ID,Restricted,Hash Pseudonymize,R3,[MACHINE_6ST1],Released,"Supplier, batch, and machine identifiers pseudonymized"
19,Defect Type,Internal,Keep,R1,Defect Type,Released,"Analytically necessary, lower-risk value retained"
19,Defect Severity,Restricted,Placeholder Mask,R4,[LOW_SEVERITY],Released,Personal identifier masked with a placeholder
19,Defect Rate,Restricted,Generalize,R2,5-5%,Released,Sensitive value generalized to reduce disclosure risk
19,Process Parameter,Restricted,Generalize,R2,10-15 mm/s,Released,Sensitive value generalized to reduce disclosure risk
19,Maintenance Note,Restricted,Generalize,R2,Lubrication error observed,Released,Sensitive value generalized to reduce disclosure risk
19,Root-Cause Note,Restricted,Generalize,R2,Calibration error observed,Released,Sensitive value generalized to reduce disclosure risk
19,Corrective Action,Internal,Generalize,R2,Maintenance action required,Released,Sensitive value generalized to reduce disclosure risk
19,Shift ID,Internal,Keep,R1,Shift ID,Released,"Analytically necessary, lower-risk value retained"
19,Operator Name,Confidential,Placeholder Mask,R4,[OPERATOR_NAME],Released,Personal identifier masked with a placeholder
19,Customer/Order Information,Confidential,Block,R5,[BLOCKED],Blocked,Customer and order information blocked from release
19,Image Metadata,Restricted,Generalize,R2,Industrial camera image,Released,Sensitive value generalized to reduce disclosure risk
20,Quality Log ID,Restricted,Placeholder Mask,R4,[QUALITY_LOG_ID],Released,Personal identifier masked with a placeholder
20,Supplier ID,Confidential,Hash Pseudonymize,R3,[SUPPLIER_50J4],Released,"Supplier, batch, and machine identifiers pseudonymized"
20,Batch ID,Restricted,Hash Pseudonymize,R3,[BATCH_5H68],Released,"Supplier, batch, and machine identifiers pseudonymized"
20,Machine ID,Restricted,Hash Pseudonymize,R3,[MACHINE_OYW4],Released,"Supplier, batch, and machine identifiers pseudonymized"
20,Defect Type,Internal,Keep,R1,Defect Type,Released,"Analytically necessary, lower-risk value retained"
20,Defect Severity,Restricted,Placeholder Mask,R4,[LOW_SEVERITY],Released,Personal identifier masked with a placeholder
20,Defect Rate,Restricted,Generalize,R2,15-20%,Released,Sensitive value generalized to reduce disclosure risk
20,Process Parameter,Restricted,Generalize,R2,15-20 Nm,Released,Sensitive value generalized to reduce disclosure risk
20,Maintenance Note,Restricted,Generalize,R2,Calibration error observed,Released,Sensitive value generalized to reduce disclosure risk
20,Root-Cause Note,Restricted,Generalize,R2,Mechanical wear observed,Released,Sensitive value generalized to reduce disclosure risk
20,Corrective Action,Internal,Generalize,R2,Maintenance action required,Released,Sensitive value generalized to reduce disclosure risk
20,Shift ID,Internal,Keep,R1,Shift ID,Released,"Analytically necessary, lower-risk value retained"
20,Operator Name,Confidential,Placeholder Mask,R4,[OPERATOR_NAME],Released,Personal identifier masked with a placeholder
20,Customer/Order Information,Confidential,Block,R5,[BLOCKED],Blocked,Customer and order information blocked from release
20,Image Metadata,Restricted,Generalize,R2,Industrial camera image,Released,Sensitive value generalized to reduce disclosure risk
21,Quality Log ID,Restricted,Placeholder Mask,R4,[QUALITY_LOG_ID],Released,Personal identifier masked with a placeholder
21,Supplier ID,Confidential,Hash Pseudonymize,R3,[SUPPLIER_6YFC],Released,"Supplier, batch, and machine identifiers pseudonymized"
21,Batch ID,Restricted,Hash Pseudonymize,R3,[BATCH_6GSW],Released,"Supplier, batch, and machine identifiers pseudonymized"
21,Machine ID,Restricted,Hash Pseudonymize,R3,[MACHINE_1878],Released,"Supplier, batch, and machine identifiers pseudonymized"
21,Defect Type,Internal,Keep,R1,Defect Type,Released,"Analytically necessary, lower-risk value retained"
21,Defect Severity,Restricted,Placeholder Mask,R4,[LOW_SEVERITY],Released,Personal identifier masked with a placeholder
21,Defect Rate,Restricted,Generalize,R2,10-15%,Released,Sensitive value generalized to reduce disclosure risk
21,Process Parameter,Restricted,Generalize,R2,100-150 A,Released,Sensitive value generalized to reduce disclosure risk
21,Maintenance Note,Restricted,Generalize,R2,Calibration error observed,Released,Sensitive value generalized to reduce disclosure risk
21,Root-Cause Note,Restricted,Generalize,R2,Batch viscosity error observed,Released,Sensitive value generalized to reduce disclosure risk
21,Corrective Action,Internal,Generalize,R2,Maintenance action required,Released,Sensitive value generalized to reduce disclosure risk
21,Shift ID,Internal,Keep,R1,Shift ID,Released,"Analytically necessary, lower-risk value retained"
21,Operator Name,Confidential,Placeholder Mask,R4,[OPERATOR_NAME],Released,Personal identifier masked with a placeholder
21,Customer/Order Information,Confidential,Block,R5,[BLOCKED],Blocked,Customer and order information blocked from release
21,Image Metadata,Restricted,Generalize,R2,Industrial camera image,Released,Sensitive value generalized to reduce disclosure risk
22,Quality Log ID,Restricted,Placeholder Mask,R4,[QUALITY_LOG_ID],Released,Personal identifier masked with a placeholder
22,Supplier ID,Confidential,Hash Pseudonymize,R3,[SUPPLIER_QC9B],Released,"Supplier, batch, and machine identifiers pseudonymized"
22,Batch ID,Restricted,Hash Pseudonymize,R3,[BATCH_NIEU],Released,"Supplier, batch, and machine identifiers pseudonymized"
22,Machine ID,Restricted,Hash Pseudonymize,R3,[MACHINE_6ST1],Released,"Supplier, batch, and machine identifiers pseudonymized"
22,Defect Type,Internal,Keep,R1,Defect Type,Released,"Analytically necessary, lower-risk value retained"
22,Defect Severity,Restricted,Placeholder Mask,R4,[HIGH_SEVERITY],Released,Personal identifier masked with a placeholder
22,Defect Rate,Restricted,Generalize,R2,5-5%,Released,Sensitive value generalized to reduce disclosure risk
22,Process Parameter,Restricted,Generalize,R2,1100-1200 kN,Released,Sensitive value generalized to reduce disclosure risk
22,Maintenance Note,Restricted,Generalize,R2,Weld error observed,Released,Sensitive value generalized to reduce disclosure risk
22,Root-Cause Note,Restricted,Generalize,R2,Coolant error observed,Released,Sensitive value generalized to reduce disclosure risk
22,Corrective Action,Internal,Generalize,R2,Die error observed,Released,Sensitive value generalized to reduce disclosure risk
22,Shift ID,Internal,Keep,R1,Shift ID,Released,"Analytically necessary, lower-risk value retained"
22,Operator Name,Confidential,Placeholder Mask,R4,[OPERATOR_NAME],Released,Personal identifier masked with a placeholder
22,Customer/Order Information,Confidential,Block,R5,[BLOCKED],Blocked,Customer and order information blocked from release
22,Image Metadata,Restricted,Generalize,R2,Industrial camera image,Released,Sensitive value generalized to reduce disclosure risk
23,Quality Log ID,Restricted,Placeholder Mask,R4,[QUALITY_LOG_ID],Released,Personal identifier masked with a placeholder
23,Supplier ID,Confidential,Hash Pseudonymize,R3,[SUPPLIER_NN27],Released,"Supplier, batch, and machine identifiers pseudonymized"
23,Batch ID,Restricted,Hash Pseudonymize,R3,[BATCH_5GWB],Released,"Supplier, batch, and machine identifiers pseudonymized"
23,Machine ID,Restricted,Hash Pseudonymize,R3,[MACHINE_VLUQ],Released,"Supplier, batch, and machine identifiers pseudonymized"
23,Defect Type,Internal,Keep,R1,Defect Type,Released,"Analytically necessary, lower-risk value retained"
23,Defect Severity,Restricted,Placeholder Mask,R4,[LOW_SEVERITY],Released,Personal identifier masked with a placeholder
23,Defect Rate,Restricted,Generalize,R2,15-20%,Released,Sensitive value generalized to reduce disclosure risk
23,Process Parameter,Restricted,Generalize,R2,3200-3200 rpm,Released,Sensitive value generalized to reduce disclosure risk
23,Maintenance Note,Restricted,Generalize,R2,Coolant error observed,Released,Sensitive value generalized to reduce disclosure risk
23,Root-Cause Note,Restricted,Generalize,R2,Die error observed,Released,Sensitive value generalized to reduce disclosure risk
23,Corrective Action,Internal,Generalize,R2,Maintenance action required,Released,Sensitive value generalized to reduce disclosure risk
23,Shift ID,Internal,Keep,R1,Shift ID,Released,"Analytically necessary, lower-risk value retained"
23,Operator Name,Confidential,Placeholder Mask,R4,[OPERATOR_NAME],Released,Personal identifier masked with a placeholder
23,Customer/Order Information,Confidential,Block,R5,[BLOCKED],Blocked,Customer and order information blocked from release
23,Image Metadata,Restricted,Generalize,R2,Industrial camera image,Released,Sensitive value generalized to reduce disclosure risk
24,Quality Log ID,Restricted,Placeholder Mask,R4,[QUALITY_LOG_ID],Released,Personal identifier masked with a placeholder
24,Supplier ID,Confidential,Hash Pseudonymize,R3,[SUPPLIER_3NVL],Released,"Supplier, batch, and machine identifiers pseudonymized"
24,Batch ID,Restricted,Hash Pseudonymize,R3,[BATCH_PNFS],Released,"Supplier, batch, and machine identifiers pseudonymized"
24,Machine ID,Restricted,Hash Pseudonymize,R3,[MACHINE_VLUQ],Released,"Supplier, batch, and machine identifiers pseudonymized"
24,Defect Type,Internal,Keep,R1,Defect Type,Released,"Analytically necessary, lower-risk value retained"
24,Defect Severity,Restricted,Placeholder Mask,R4,[LOW_SEVERITY],Released,Personal identifier masked with a placeholder
24,Defect Rate,Restricted,Generalize,R2,10-15%,Released,Sensitive value generalized to reduce disclosure risk
24,Process Parameter,Restricted,Generalize,R2,100-150 A,Released,Sensitive value generalized to reduce disclosure risk
24,Maintenance Note,Restricted,Generalize,R2,Weld error observed,Released,Sensitive value generalized to reduce disclosure risk
24,Root-Cause Note,Restricted,Generalize,R2,Spindle error observed,Released,Sensitive value generalized to reduce disclosure risk
24,Corrective Action,Internal,Generalize,R2,Batch viscosity error observed,Released,Sensitive value generalized to reduce disclosure risk
24,Shift ID,Internal,Keep,R1,Shift ID,Released,"Analytically necessary, lower-risk value retained"
24,Operator Name,Confidential,Placeholder Mask,R4,[OPERATOR_NAME],Released,Personal identifier masked with a placeholder
24,Customer/Order Information,Confidential,Block,R5,[BLOCKED],Blocked,Customer and order information blocked from release
24,Image Metadata,Restricted,Generalize,R2,Industrial camera image,Released,Sensitive value generalized to reduce disclosure risk
25,Quality Log ID,Restricted,Placeholder Mask,R4,[QUALITY_LOG_ID],Released,Personal identifier masked with a placeholder
25,Supplier ID,Confidential,Hash Pseudonymize,R3,[SUPPLIER_NN27],Released,"Supplier, batch, and machine identifiers pseudonymized"
25,Batch ID,Restricted,Hash Pseudonymize,R3,[BATCH_SAVW],Released,"Supplier, batch, and machine identifiers pseudonymized"
25,Machine ID,Restricted,Hash Pseudonymize,R3,[MACHINE_5XMZ],Released,"Supplier, batch, and machine identifiers pseudonymized"
25,Defect Type,Internal,Keep,R1,Defect Type,Released,"Analytically necessary, lower-risk value retained"
25,Defect Severity,Restricted,Placeholder Mask,R4,[LOW_SEVERITY],Released,Personal identifier masked with a placeholder
25,Defect Rate,Restricted,Generalize,R2,20-25%,Released,Sensitive value generalized to reduce disclosure risk
25,Process Parameter,Restricted,Generalize,R2,45-45 s,Released,Sensitive value generalized to reduce disclosure risk
25,Maintenance Note,Restricted,Generalize,R2,Rail error observed,Released,Sensitive value generalized to reduce disclosure risk
25,Root-Cause Note,Restricted,Generalize,R2,Batch viscosity error observed,Released,Sensitive value generalized to reduce disclosure risk
25,Corrective Action,Internal,Generalize,R2,Spindle error observed,Released,Sensitive value generalized to reduce disclosure risk
25,Shift ID,Internal,Keep,R1,Shift ID,Released,"Analytically necessary, lower-risk value retained"
25,Operator Name,Confidential,Placeholder Mask,R4,[OPERATOR_NAME],Released,Personal identifier masked with a placeholder
25,Customer/Order Information,Confidential,Block,R5,[BLOCKED],Blocked,Customer and order information blocked from release
25,Image Metadata,Restricted,Generalize,R2,Industrial camera image,Released,Sensitive value generalized to reduce disclosure risk
26,Quality Log ID,Restricted,Placeholder Mask,R4,[QUALITY_LOG_ID],Released,Personal identifier masked with a placeholder
26,Supplier ID,Confidential,Hash Pseudonymize,R3,[SUPPLIER_1NBN],Released,"Supplier, batch, and machine identifiers pseudonymized"
26,Batch ID,Restricted,Hash Pseudonymize,R3,[BATCH_HMT5],Released,"Supplier, batch, and machine identifiers pseudonymized"
26,Machine ID,Restricted,Hash Pseudonymize,R3,[MACHINE_VLUQ],Released,"Supplier, batch, and machine identifiers pseudonymized"
26,Defect Type,Internal,Keep,R1,Defect Type,Released,"Analytically necessary, lower-risk value retained"
26,Defect Severity,Restricted,Placeholder Mask,R4,[HIGH_SEVERITY],Released,Personal identifier masked with a placeholder
26,Defect Rate,Restricted,Generalize,R2,5-10%,Released,Sensitive value generalized to reduce disclosure risk
26,Process Parameter,Restricted,Generalize,R2,80-85 bar,Released,Sensitive value generalized to reduce disclosure risk
26,Maintenance Note,Restricted,Generalize,R2,Calibration error observed,Released,Sensitive value generalized to reduce disclosure risk
26,Root-Cause Note,Restricted,Generalize,R2,Calibration error observed,Released,Sensitive value generalized to reduce disclosure risk
26,Corrective Action,Internal,Generalize,R2,Maintenance action required,Released,Sensitive value generalized to reduce disclosure risk
26,Shift ID,Internal,Keep,R1,Shift ID,Released,"Analytically necessary, lower-risk value retained"
26,Operator Name,Confidential,Placeholder Mask,R4,[OPERATOR_NAME],Released,Personal identifier masked with a placeholder
26,Customer/Order Information,Confidential,Block,R5,[BLOCKED],Blocked,Customer and order information blocked from release
26,Image Metadata,Restricted,Generalize,R2,Industrial camera image,Released,Sensitive value generalized to reduce disclosure risk
27,Quality Log ID,Restricted,Placeholder Mask,R4,[QUALITY_LOG_ID],Released,Personal identifier masked with a placeholder
27,Supplier ID,Confidential,Hash Pseudonymize,R3,[SUPPLIER_K1V4],Released,"Supplier, batch, and machine identifiers pseudonymized"
27,Batch ID,Restricted,Hash Pseudonymize,R3,[BATCH_91SS],Released,"Supplier, batch, and machine identifiers pseudonymized"
27,Machine ID,Restricted,Hash Pseudonymize,R3,[MACHINE_6ST1],Released,"Supplier, batch, and machine identifiers pseudonymized"
27,Defect Type,Internal,Keep,R1,Defect Type,Released,"Analytically necessary, lower-risk value retained"
27,Defect Severity,Restricted,Placeholder Mask,R4,[LOW_SEVERITY],Released,Personal identifier masked with a placeholder
27,Defect Rate,Restricted,Generalize,R2,15-20%,Released,Sensitive value generalized to reduce disclosure risk
27,Process Parameter,Restricted,Generalize,R2,200-250 °C,Released,Sensitive value generalized to reduce disclosure risk
27,Maintenance Note,Restricted,Generalize,R2,Mechanical wear observed,Released,Sensitive value generalized to reduce disclosure risk
27,Root-Cause Note,Restricted,Generalize,R2,Batch viscosity error observed,Released,Sensitive value generalized to reduce disclosure risk
27,Corrective Action,Internal,Generalize,R2,Spindle error observed,Released,Sensitive value generalized to reduce disclosure risk
27,Shift ID,Internal,Keep,R1,Shift ID,Released,"Analytically necessary, lower-risk value retained"
27,Operator Name,Confidential,Placeholder Mask,R4,[OPERATOR_NAME],Released,Personal identifier masked with a placeholder
27,Customer/Order Information,Confidential,Block,R5,[BLOCKED],Blocked,Customer and order information blocked from release
27,Image Metadata,Restricted,Generalize,R2,Industrial camera image,Released,Sensitive value generalized to reduce disclosure risk
28,Quality Log ID,Restricted,Placeholder Mask,R4,[QUALITY_LOG_ID],Released,Personal identifier masked with a placeholder
28,Supplier ID,Confidential,Hash Pseudonymize,R3,[SUPPLIER_1NBN],Released,"Supplier, batch, and machine identifiers pseudonymized"
28,Batch ID,Restricted,Hash Pseudonymize,R3,[BATCH_DIDP],Released,"Supplier, batch, and machine identifiers pseudonymized"
28,Machine ID,Restricted,Hash Pseudonymize,R3,[MACHINE_VLUQ],Released,"Supplier, batch, and machine identifiers pseudonymized"
28,Defect Type,Internal,Keep,R1,Defect Type,Released,"Analytically necessary, lower-risk value retained"
28,Defect Severity,Restricted,Placeholder Mask,R4,[LOW_SEVERITY],Released,Personal identifier masked with a placeholder
28,Defect Rate,Restricted,Generalize,R2,5-10%,Released,Sensitive value generalized to reduce disclosure risk
28,Process Parameter,Restricted,Generalize,R2,1100-1200 kN,Released,Sensitive value generalized to reduce disclosure risk
28,Maintenance Note,Restricted,Generalize,R2,Conveyor error observed,Released,Sensitive value generalized to reduce disclosure risk
28,Root-Cause Note,Restricted,Generalize,R2,Spindle error observed,Released,Sensitive value generalized to reduce disclosure risk
28,Corrective Action,Internal,Generalize,R2,Coolant error observed,Released,Sensitive value generalized to reduce disclosure risk
28,Shift ID,Internal,Keep,R1,Shift ID,Released,"Analytically necessary, lower-risk value retained"
28,Operator Name,Confidential,Placeholder Mask,R4,[OPERATOR_NAME],Released,Personal identifier masked with a placeholder
28,Customer/Order Information,Confidential,Block,R5,[BLOCKED],Blocked,Customer and order information blocked from release
28,Image Metadata,Restricted,Generalize,R2,Industrial camera image,Released,Sensitive value generalized to reduce disclosure risk
29,Quality Log ID,Restricted,Placeholder Mask,R4,[QUALITY_LOG_ID],Released,Personal identifier masked with a placeholder
29,Supplier ID,Confidential,Hash Pseudonymize,R3,[SUPPLIER_10MQ],Released,"Supplier, batch, and machine identifiers pseudonymized"
29,Batch ID,Restricted,Hash Pseudonymize,R3,[BATCH_J9RL],Released,"Supplier, batch, and machine identifiers pseudonymized"
29,Machine ID,Restricted,Hash Pseudonymize,R3,[MACHINE_VLUQ],Released,"Supplier, batch, and machine identifiers pseudonymized"
29,Defect Type,Internal,Keep,R1,Defect Type,Released,"Analytically necessary, lower-risk value retained"
29,Defect Severity,Restricted,Placeholder Mask,R4,[HIGH_SEVERITY],Released,Personal identifier masked with a placeholder
29,Defect Rate,Restricted,Generalize,R2,5-10%,Released,Sensitive value generalized to reduce disclosure risk
29,Process Parameter,Restricted,Generalize,R2,20-25 °C,Released,Sensitive value generalized to reduce disclosure risk
29,Maintenance Note,Restricted,Generalize,R2,Calibration error observed,Released,Sensitive value generalized to reduce disclosure risk
29,Root-Cause Note,Restricted,Generalize,R2,Batch viscosity error observed,Released,Sensitive value generalized to reduce disclosure risk
29,Corrective Action,Internal,Generalize,R2,Die error observed,Released,Sensitive value generalized to reduce disclosure risk
29,Shift ID,Internal,Keep,R1,Shift ID,Released,"Analytically necessary, lower-risk value retained"
29,Operator Name,Confidential,Placeholder Mask,R4,[OPERATOR_NAME],Released,Personal identifier masked with a placeholder
29,Customer/Order Information,Confidential,Block,R5,[BLOCKED],Blocked,Customer and order information blocked from release
29,Image Metadata,Restricted,Generalize,R2,Industrial camera image,Released,Sensitive value generalized to reduce disclosure risk
30,Quality Log ID,Restricted,Placeholder Mask,R4,[QUALITY_LOG_ID],Released,Personal identifier masked with a placeholder
30,Supplier ID,Confidential,Hash Pseudonymize,R3,[SUPPLIER_1NBN],Released,"Supplier, batch, and machine identifiers pseudonymized"
30,Batch ID,Restricted,Hash Pseudonymize,R3,[BATCH_MKM5],Released,"Supplier, batch, and machine identifiers pseudonymized"
30,Machine ID,Restricted,Hash Pseudonymize,R3,[MACHINE_Y998],Released,"Supplier, batch, and machine identifiers pseudonymized"
30,Defect Type,Internal,Keep,R1,Defect Type,Released,"Analytically necessary, lower-risk value retained"
30,Defect Severity,Restricted,Placeholder Mask,R4,[HIGH_SEVERITY],Released,Personal identifier masked with a placeholder
30,Defect Rate,Restricted,Generalize,R2,5-5%,Released,Sensitive value generalized to reduce disclosure risk
30,Process Parameter,Restricted,Generalize,R2,5-10 mm/s,Released,Sensitive value generalized to reduce disclosure risk
30,Maintenance Note,Restricted,Generalize,R2,Rail error observed,Released,Sensitive value generalized to reduce disclosure risk
30,Root-Cause Note,Restricted,Generalize,R2,Calibration error observed,Released,Sensitive value generalized to reduce disclosure risk
30,Corrective Action,Internal,Generalize,R2,Spindle error observed,Released,Sensitive value generalized to reduce disclosure risk
30,Shift ID,Internal,Keep,R1,Shift ID,Released,"Analytically necessary, lower-risk value retained"
30,Operator Name,Confidential,Placeholder Mask,R4,[OPERATOR_NAME],Released,Personal identifier masked with a placeholder
30,Customer/Order Information,Confidential,Block,R5,[BLOCKED],Blocked,Customer and order information blocked from release
30,Image Metadata,Restricted,Generalize,R2,Industrial camera image,Released,Sensitive value generalized to reduce disclosure risk
